,DOI,Title,Abstract,Extracted Dictionary,Prediction,,
171,10.1016/j.envres.2023.117393,A simple green method for in-situ selective extraction of Li from spent LiFePO4 batteries by synergistic effect of deep-eutectic solvent and ozone,"Efficient and clean extraction lithium (Li) from spent LiFePO4 batteries (LIBs) still remains a challenge. In this paper, a green deep eutectic solvent (DES) based on ethylene glycol (EG) and choline chloride (CC), combined with ozone (O3) from air source, realized highly selective leaching Li from LiFePO4 in situ for the first time. The influence of experimental parameters on Li and Fe leaching efficiencies (η Li, η Fe) were studied by orthogonal and single-factor tests, and η Li ≥ 92.2% while η Fe ≤ 1.6% were obtained under the optimal conditions (6 h, 20 g/L, 8EG:1CC, 40 °C). The impurity Fe in the filtrate was completely precipitated as amorphous FePO4·3H2O after heating (150 °C, 0.5 h), achieving a pure Li-solution. The leaching mechanism elucidated that the synergistic effect (acidification, replacement and oxidation reaction) between the DES and O3 determined the phase transition of Li and Fe, promoting the efficient selective extraction of Li and in-situ separation of Fe (FePO4). The average η Li and η Fe were separately 85.4% and 2.0% after ten cycles of the 8EG:1CC, indicative of its’ excellent reusability. Meanwhile, LiCl was recovered from the filtrate. This process avoided the use of strong acid/alkali and discharge of waste water, providing fresh perspectives on the green recovery of spent LiFePO4 batteries.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['hydrometallurgical leaching'], 'Process_Conditions/Battery_Properties': ['pH 2.0', '60 °C', '100 g/L H2SO4', '100 g/L H2O2', '60 min'], 'Recovered_Materials': ['lithium', 'cobalt']}
",272,FALSE
172,10.1016/j.hydromet.2021.105768,Separation of lithium and transition metals from the leachate of spent lithium-ion battery by extraction-precipitation with p-tert-butylphenoxy acetic acid,"Unlike common solvent extraction and chemical precipitation, a novel extraction-precipitation process for the separation of Li and transition metals using p-tertylphenoxyacetic acid (POAA) is developed. Extraction-precipitation method refers to a method in which the extraction-precipitant can quantitatively extract the metal ions to form solid extracted complex without the requirement of organic solvent or carrier, and the extraction-precipitant can be stripped and recycled. In this study, the extraction-precipitation mechanism and thermodynamic parameters between POAA and manganese (Mn), cobalt (Co), nickel (Ni) were analyzed. Subsequently, the equilibrium time and pH value of the separation process were optimized. Finally, the leach solution of LIB having Li, Ni, Co, Mn with concentration of 3.52 g/L, 7.93 g/L, 5.72 g/L, and 14.16 g/L, respectively, was studied for the separation at pH 4.5. The results indicate that efficient separation of Li and transition metals was possible by one-step precipitation using 0.2 mol/L POAA solution (degree of saponification = 100%) when the ratio of nPOAA/nMn+Co+Ni was 2. The separation factor for the transition metals over lithium (β CoNiMn/β Li) reached as high as 133,014. After the transition metal-loaded POAA was stripped with 2 mol/L sulfuric acid, the stripped solution could be used for the production of ternary material precursor, and the regenerated POAA could be recycled for the extraction-precipitation process. The lithium in the solution was recovered in the form of lithium carbonate (Li2CO3) with a purity level of 97.7%. This high efficiency and sustainable process based on extraction-precipitation has shown potential application for spent LIB recovery.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['a novel extraction-precipitation process'], 'Process_Conditions/Battery_Properties': ['pH value of 4.5'], 'Recovered_Materials': ['lithium carbonate (Li2CO3)']}
",257,TRUE
173,10.1016/j.resconrec.2021.105784,Dry Grinding - Carbonated Ultrasound-Assisted Water Leaching of Carbothermally Reduced Lithium-Ion Battery Black Mass Towards Enhanced Selective Extraction of Lithium and Recovery of High-Value Metals,"This paper presents a dry grinding and carbonated ultrasound-assisted water leaching (CUAWL) process for recycling the black mass of spent lithium-ion batteries constituting anode material (graphite) and different cathode material combinations (LiCoO2, LiMn2O4, and LiNiO2). The inspiration of the method is to enhance selective Li2CO3 recovery and reduce energy requirements for evaporative crystallization while achieving maximum recovery of all the high-value metals. The influence of several factors, including roasting temperature, roasting time, grinding time, water leaching time, water leaching temperature, sonication, and CO2 flow rate, on the leaching efficiency of metals are investigated. The SEM-EDS and XRD results depict that the mixture of anode and cathode material after reduction roasting under optimum conditions of 600 °C for 30 min was primarily transformed into Li2CO3, Ni, CoO, Co, and MnO. However, the selective recovery of Li with water leaching was low, and dry grinding followed by CUAWL was adopted to enhance the recovery rate. The optimized experimental results achieved improved results for selective recovery of Li of up to 92.25% for the mixture of multiple cathode materials (LiCoO2, LiMn2O4, and LiNiO2). The recovered leach solution (LiHCO3) is subjected to evaporative crystallization to attain high-purity Li2CO3 (≥99.2%). Subsequently, over 99% of the high-value metals Ni, Mn, and Co could be leached out using 4 M H2SO4 without the addition of a reductant.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['roasting', 'water leaching', 'dry grinding and carbonated ultrasound-assisted water leaching (CUAWL)'], 'Process_Conditions/Battery_Properties': ['600 °C for 30 min', '30 min', '120 °C', '30 min', '4 M H2SO4'], 'Recovered_Materials': ['Li2CO3', 'Ni', 'CoO', 'Co', 'MnO', 'LiHCO3', 'Li2CO3 (≥99.2%)', 'Ni', 'Mn', 'Co']}
",412,TRUE
174,10.1016/j.seppur.2024.128789,Recovering metallic lead from spent lead paste by slurry electrolysis,"Spent lead paste, the most challenging component of discarded lead-acid batteries, contains approximately 70 % Pb. Improper handling of lead-acid battery waste poses severe risks to both the environment and human health. Here, we present a novel and short process for directly recycling metallic Pb from spent lead paste by chlorine slurry electrolysis and investigate the parameters that affect Pb recovery rate and cathodic current efficiency. Our experiments showed that under optimal conditions (250 g/L NaCl, 0.8 mol/L HCl, 10 g/L Pb2+, 30 A/m2, 40 g/L pulp concentration, 65 °C, and 12 h), the Pb recovery rate and cathodic current efficiency were, respectively, 90.54 and 85.25 %. During slurry electrolysis. Cl- combined with Pb in spent lead paste in the anode chamber, converting lead oxides and insoluble PbSO4 into soluble lead chloride complexes ([PbCl3]-, [PbCl4]2-). Driven by the electric field and concentration gradient, the lead chloride complex ions then migrated to the cathode region, where they were reduced to metallic Pb with a purity higher than 99 %. The application of this cost-effective and efficient novel method can contribute to the sustainable reuse of waste lead-acid batteries and other Pb-bearing scrap.",,"{'Battery_Material/Battery_Type': ['lead-acid batteries'], 'Recycling_Process_Used': ['leaching', 'alkaline leaching', 'oxalic acid leaching', 'sulfuric acid leaching', 'acid leaching', 'alkaline leaching', 'oxalic acid leaching', 'sulfuric acid leaching', 'alkaline leaching', 'oxalic acid leaching', 'sulfuric acid leaching', 'alkaline leaching', 'oxalic acid leaching', 'sulfuric acid leaching'], 'Process_Conditions/Battery_Properties': ['100 °C', '2 M H2SO4', '3 M H2O2', 'pH 2.5', 'pH 1.5', 'pH 3.5', 'pH 4.5', 'pH 5.5', 'pH 6.5', 'pH 7.5', 'pH 8.5', 'pH 9.5', 'pH 10.5', 'pH 11.5', 'pH 12.5', 'pH 13.5', 'pH 14.5', 'pH 15.5', 'pH 16.5', 'pH 17.5', 'pH 18.5', 'pH 19.5', 'pH 20.5', 'pH 21.5', 'pH 22.5', 'pH 23.5', 'pH 24.5', 'pH 25.5', 'pH 26.5', 'pH 27.5', 'pH 28.5', 'pH 29.5', 'pH 30.5', 'pH 31.5', 'pH 32.5', 'pH 33.5', 'pH 34.5', 'pH 35.5', 'pH 36.5', 'pH 37.5', 'pH 38.5', 'pH 39",893,TRUE
175,10.1016/j.hydromet.2019.105134,Hydrometallurgical recovery of lead from spent lead-acid battery paste via leaching and electrowinning in chloride solution,"Recycling spent lead-acid batteries has always been a research hotspot. Although traditional pyrometallurgical smelting is still the dominant process, it has serious environmental drawbacks, such as the emission of lead dust and SO2, and high energy consumption. This study presents a clean process for recycling spent lead-acid battery paste. The lead in paste was recovered via hydrometallurgical leaching and electrowinning in chloride solution. The leaching ratio of lead was >99% under optimum conditions: temperature of 90 °C, CaCl2 concentration of 400 g/L, Fe2+ concentration of 5 g/L, pH 1.0, and leaching time of 2 h. The appropriate minimum Pb concentration and optimum current density for electrowinning were determined to be 10 g/L and 200 A/m2, respectively. Cathode lead powders with a purity of 99.6% were obtained via electrowinning. The current efficiency and the power consumption at 200 A/m2 were 96.3% and 85.9 kWh per ton of lead produced, respectively. Due to the use of soluble anode (iron), the energy consumption of the electrowinning process was considerably reduced and the chlorine evolution was avoided. The electrowinning has obvious economic advantages over cementation, and the metallic lead with high purity can be obtained using this method. Furthermore, as the spent electrolyte containing ferrous ions is recyclable, the consumption of reagents and the liquid effluent are minimised. The final leaching residue is a mixture of harmless akaganeite and calcium sulphate. The experimental results show that the proposed process is promising for the recovery of lead from spent lead-acid battery paste.",,"{'Battery_Material/Battery_Type': ['lead-acid batteries'], 'Recycling_Process_Used': ['leaching-electrowinning process'], 'Process_Conditions/Battery_Properties': ['pH 1.0', '90 °C', '400 g/L', 'Fe2+ concentration of 5 g/L', '2 h'], 'Recovered_Materials': ['cathode lead powders with a purity of 99.6%']}
",306,TRUE
176,10.1016/j.cej.2020.125903,Reutilization of cathode material from spent batteries as a heterogeneous catalyst to remove antibiotics in wastewater via peroxymonosulfate activation,"Recycling of valuable secondary source of materials from spent batteries brings great opportunity for recyclers at end-of-life but a challenging issue. Peroxymonosulfate (PMS)-based advanced oxidation has been considered an efficient approach to eliminate refractory antibiotic in wastewater. In this study, a cathode material (CM) recovered from spent lithium-ion batteries (LIBs) was explored to serve as a direct catalyst to activate peroxymonosulfate for the first time. The CM catalyst included 94% LiCoO2 and 6% other substances (e.g. Co3O4) via a facile calcination process. The reactions between PMS and CM for levofloxacin hydrochloride (LFX) decomposition were investigated. Removal efficiency of LFX displayed close correlations with system parameters including CM catalyst dosage, PMS dosage, LFX concentration, pH value and inorganic ions. An optimal removal of 94% was obtained at CM-850 = 0.4 g/L and PMS = 0.5 mM within 60 min, and the first order reaction kinetic rate constant was 0.07597 min−1. Moreover, 32% total organic carbon had been removed after the reaction. In CM catalyst, the varied valence of Co2+/Co3+ underpinned PMS activation, and the SO4 − and non-radical 1O2 were of critical significance in LFX degradation. Adjacent methyl in tertiary amine of LFX molecule was the initial cleavage site. Furthermore, the CM catalysts in PMS activation exhibited prominent stability, the degradation efficiency was 80% after four catalytic cycles. Such strategy advances the development of direct recycling of spent batteries for advanced oxidation based on peroxymonosulfate.",,"{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['Peroxymonosulfate (PMS) based advanced oxidation'], 'Process_Conditions/Battery_Properties': ['pH value: 2.0–4.0', '30 °C', '45 min', '1 mL/L of H2O2', '1 mL/L of H2SO4', '0.2 mL/L of methylene blue', '10 mL/L of deionized water'], 'Recovered_Materials': ['methylene blue']}
",374,TRUE
177,10.1016/j.jaap.2016.08.014,Effects of gas flow rate on zinc recovery rate and particle properties by pyrolysis of alkaline and zinc-carbon battery waste,"Zinc (Zn) recovery rate and the properties of Zn particles obtained by pyrolysis of alkaline and Zn-C battery waste were studied at a reaction temperature of 950°C for 60min residence time using various N2(g) flow rate (0.5–3.0L/min) without using any additive. The battery black mass was characterized with respect to the properties of waste battery particles, and chemical content. The thermodynamics of the pyrolysis process was studied using the HSC Chemistry 5.11 software. A carbothermic reduction reaction of the washed battery black mass by Milli-Q water takes place at choosen temperature and makes it possible to produce fine Zn particles by a rapid condensation following the evaporation of zinc from the pyrolysis batch. The amount of Zn that can be separated from the black mass slightly increases at higher N2(g) flow rates than 0.5L/min and stabilizes by controlling the gas flow. Zn recovery of 80% was achieved at 950°C and 60min residence time using 1.0L/min and higher flow rates by pyrolysis of the washed battery black mass. The pyrolysis residue was shown to be mainly composes of MnO and Mn2O3 with traces of impurities. The particle size of the produced Zn particle decreased from 874nm to 534nm with increasing flow rate and those particles are formed by the aggregation of primary condensed particles with nano-range sizes. The morphology of the zinc particles also changes from hexagonal shape to spherical morphology by increasing gas flow rate.",,"{'Battery_Material/Battery_Type': ['Lithium-ion batteries'], 'Recycling_Process_Used': ['pyrolysis'], 'Process_Conditions/Battery_Properties': ['950°C', '60min'], 'Recovered_Materials': ['Li2CO3']}
",199,FALSE
178,10.1016/j.eti.2022.102915,Hydrometallurgical leaching and recovery of cobalt from lithium ion battery,"The main aim of this work was to test the ability of an amino acid (i.e. glycine) to leach cobalt from Li ion batteries (LiBs). The process parameters namely temperature, pulp density and concentration of glycine were optimized for maximizing the leaching efficiency of cobalt from the cathodic material. Response surface methodology (RSM) was applied for determining the experimental conditions instead of using the traditional one factor at a time (OFAT) approach in order to ascertain the interaction effects between the different factors. Thus, the optimal leaching value based on RSM and maximum cobalt leaching potential from LiBs was obtained. The optimum values for the parameters were as follows; temperature = 74 °C, pulp density = 19.9 g/L and glycine concentration = 0.936 M. Under this optimum condition, the cobalt leaching efficiency was 61.8%, while a maximum leaching of 89.7% was achieved at the following conditions: temperature = 100 °C, pulp density = 13.8 g/L and glycine concentration = 1.24 M. Oxalic acid was used for recovering cobalt from the leaching solution by varying the pH and molar ratio of oxalic acid and cobalt ions. Cobalt recovery efficiencies were ∼ 88.0% at pH 7.0 and at oxalic acid to cobalt ion molar ratio of 2.5:1.0.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['leaching'], 'Process_Conditions/Battery_Properties': ['100 °C', 'pulp density = 13.8 g/L and glycine concentration = 1.24 M'], 'Recovered_Materials': ['cobalt']}
",252,TRUE
179,10.1016/j.hydromet.2022.106000,Separation of Cu impurity from spent lithium-ion batteries by roasting in air and leaching with (NH4)2CO3 solution of low concentration,"Separation of Cu impurities from spent lithium-ion batteries (LIBs) before precipitating other valuable metals is critical to improve the quality of final products. Currently, the main process for separating Cu impurity from spent LIBs by extraction and precipitation has the disadvantage of being high cost and complicated process. In this work, the surface characteristics of spent LIBs materials before and after thermal treatment are explored, and the effects of the concentration of ammonium salts, temperature, and pulp density on the leaching of Cu impurity are investigated. The novel process proposed in this work removes Cu impurities from spent LIBs materials using a solution of (NH4)2CO3 at low concentration. The results suggest that organics on the spent LIBs surface can be effectively removed by heating at a temperature of 505 °C to avoid the influence of organics on the removal of Cu impurities. Furthermore, the results of the leaching experiment demonstrate that (NH4)2CO3 displays an excellent leaching effect on Cu compared to NH4Cl, (NH4)2SO4, and NH4HCO3. The leaching efficiency of Cu at the concentration of 0.25 mol/L (NH4)2CO3, temperature 80 °C and leaching time of 120 min reaches 99.1%. On the contrary, the leaching efficiencies of Ni, Co, and Mn are <4% on average. The thermodynamic analysis proves the potential for removing Cu impurities from spent LIBs materials using a solution of (NH4)2CO3 at low concentration. The process lays the foundation for the subsequent hydrometallurgical process to recover other metals.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['leaching process'], 'Process_Conditions/Battery_Properties': ['pulp density of 100 g/L', 'temperature of 80 °C', 'leaching time of 120 min'], 'Recovered_Materials': ['lithium', 'Ni', 'Co', 'Mn', 'and Cu']}
",296,TRUE
180,10.1016/j.jiec.2019.08.051,Novel efficient and environmentally friendly recovering of high performance nano-LiMnPO4/C cathode powders from spent LiMn2O4 batteries,"In this study, a novel efficient and environmentally friendly recycling process is developed to recover spent LiMn2O4 powder as raw materials for high-performance LiMnPO4/C nanocomposites. The process comprises a mechanochemical liquid-phase activation of the precursor mixture followed by a single-step solid-state heat treatment. The results indicate that the recovered LiMnPO4/C nano-composite has a promising electrochemical performance with discharge capacities of 148.5, 136.1, and 116.5mAhg−1 at 0.05, 0.2, and 1C rate, respectively, in the voltage range of 2.5–4.5V. A perfect cyclic performance is also displayed with a capacity retention of 98% after 100 cycles at 1C rate.",,"{'Battery_Material/Battery_Type': ['LiMnPO4/C nano-composites'], 'Recycling_Process_Used': ['mechanochemical liquid-phase activation of the precursor mixture'], 'Process_Conditions/Battery_Properties': ['0.05, 0.2, and 1C rate', '2.5–4.5V'], 'Recovered_Materials': ['spent LiMn2O4 powder']}
",293,FALSE
181,10.1016/j.cej.2022.138388,Recycling spent LiFePO4 battery for fabricating visible-light photocatalyst with adsorption-photocatalytic synergistic performance and simultaneous recovery of lithium and phosphorus,"Converting spent LiFePO4 (LFP) battery into photocatalysts is an attractive approach for efficiently enhancing the economic profit of recycling low value-added battery. In the current research, a facile and novel strategy for recycling spent LFP battery to fabricate visible-light photocatalyst (NaFeS2) with adsorption-photocatalytic synergistic ability was developed, and more than 99.9 % Li and P were simultaneously recovered. The synthesized NaFeS2 showed superior adsorption-photocatalytic synergistic capability, which could quickly photodegrade 98 % methylene blue (MB) without pre-adsorption in 20 min (C0 = 20 mg/L, V = 100 mL), and the degradation rate constant of MB by NaFeS2 was 67 times higher than that of TiO2. Mechanisms study demonstrated the enhanced absorption of visible light and efficient charge separation endowed NaFeS2 with outstanding photocatalytic ability. The excellent adsorption capacity of NaFeS2 for MB (129.3 mg/g) was ascribed to the electrostatic interaction between negative S2-/S2 2- and positively charged MB molecules and coordination interaction between MB molecules and Fe (II)/Fe (III). The synergy of adsorption and photocatalysis shortened the time required for MB to contact with ·O2 –, ·OH and h+, increasing the degradation rate of MB. In addition, cycle experiments demonstrated NaFeS2 possessed excellent reusability and stable photocatalytic ability. The current research provides a profitable strategy for recycling low value-added spent LFP battery, and the synthesized NaFeS2 has potential for industrial application in site remediation with serious pollution of organic dyes.",,"{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['chemical leaching'], 'Process_Conditions/Battery_Properties': ['pH = 1.0', 'temperature = 80 °C', 'H2SO4 = 2 M'], 'Recovered_Materials': ['lithium and cobalt']}
",258,FALSE
182,10.1016/j.jhazmat.2020.122740,Microwave Pyrolysis of Macadamia Shells for Efficiently Recycling Lithium from Spent Lithium-ion Batteries,"To reduce harm to the environment and human health and improve economic benefits, the large number of spent lithium-ion batteries that have been produced in recent years need to be reasonably recycled. The purpose of this article is to study a new method, microwave pyrolysis of the shells of macadamia nuts, for efficient recycling of lithium from spent lithium-ion batteries. XRD, SEM, and TGA analyses were used to observe the phase change during roasting. With the help of microwave heating and biomass pyrolysis, the decomposition temperature of Li(Ni1/3Co1/3Mn1/3)O2 was reduced to 300 °C. Carbonated water-soluble Li2CO3 was formed under the action of biochar. Accordingly, the effects of pyrolysis temperature (Pte), biomass dose (bio%), reduction roasting temperature (Rte) and reduction roasting time (Rti) on the leaching rate of lithium were studied, and the results indicated that 93.4% lithium could be leached under the following optimum conditions: bio% = 24, Pte = 500 °C, Rte = 750 °C, and Rti = 25 min. A lattice collapse model and coupling reaction theory explained the benefit of biomass pyrolysis on the decomposition of Li(Ni1/3Co1/3Mn1/3)O2. Finally, we designed a complete process for recycling the cathode powder of spent lithium-ion batteries. This study can guide industrial production to recover lithium-ion batteries in the future.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['microwave pyrolysis'], 'Process_Conditions/Battery_Properties': ['biomass pyrolysis', '500 °C', '750 °C', '25 min'], 'Recovered_Materials': ['lithium-ion batteries']}
",258,FALSE
183,10.1016/j.jenvman.2024.121706,"Ultrasound-assisted efficient and convenient method of extracting valuable metals (Ni, Co, and Cd) from waste Ni–Cd batteries using DL-malic acid","Recycling waste Ni–Cd batteries has received much attention recently because of the serious environmental pollution they cause and to avoid the dissipation of valuable metals. Despite significant research, it is still difficult to efficiently recycle valuable and hazardous metals from waste Ni–Cd batteries in an economical and environmentally friendly manner. This study employed a novel process utilizing ultrasound-assisted leaching to recover Ni, Cd, and Co from waste nickel-cadmium (Ni–Cd) batteries. Organic DL-malic acid served as the leaching agent and H2O2 was employed as an oxidizing agent. The effects of various factors on the recovery efficiency of Ni, Cd, and Co, such as leaching temperature, time, DL-malic acid concentration, pulp density, H2O2 concentration, and ultrasound frequency, were also examined. To predict the chemical compounds present before and after the recycling experiments, the solid residues from the metal extraction were analyzed using XRD, XPS, FE-SEM, and EDS element mapping. Concurrently, ICP-OES was utilized to determine the metal content in the leachate. Under optimized conditions of 90 °C, 90 min, 2M DL-malic acid, 160 mL/g pulp density, and 20% ultrasound frequency, over 83% of Ni, 94% of Cd, and 98% of Co were effectively leached from the waste Ni–Cd battery powder. The leaching kinetics of Ni, Cd, and Co followed the surface chemical reaction control model. The activation energies (Ea) for Ni, Cd, and Co leaching were 21.34, 20.47, and 18.38 kJ/mol, respectively. The findings suggest that ultrasound-assisted leaching is an efficient, cost-effective, environmentally friendly, and sustainable alternative for extracting precious and hazardous metals from waste Ni–Cd batteries. Additionally, it reduces industrial chemical usage and enhances waste management sustainability.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['leaching with ammonium sulfate'], 'Process_Conditions/Battery_Properties': ['leaching temperature of 80 °C', 'leaching time of 120 min', 'ammonium sulfate concentration of 2.5 mol/L', 'pulp density of 200 g/L', 'and 50% solid/liquid ratio'], 'Recovered_Materials': ['lithium', 'cobalt', 'and nickel']}
",392,TRUE
184,10.1016/j.jclepro.2024.143756,A novel process for recovering LNCM battery cathode material using cryolite-based electrolyte through selective dissolution - acid leaching - coprecipitation,"Around the world the number of scrapped lithium-ion batteries (LIBs), which are rich in valuable elements worthy of recycling, is increasing. In this study, a method using cryolite-based electrolyte to recycle cathode materials from spent lithium nickel-cobalt-manganese oxide (LNCM) batteries is proposed. Firstly, a molten cryolite-based electrolyte is used to decompose the microstructure of spent LIB cathode material, releasing valuable lithium element into the electrolyte, which can be used in aluminum electrolysis industry. As nickel-cobalt-manganese oxides have low solubilities in the cryolite-based electrolyte, they sink to the bottom of the molten electrolyte, which is then cooled down, forming an upper and lower layer. Lithium element can be quickly and conveniently separated from nickel-cobalt-manganese oxides, which are enriched in the lower layer of the electrolyte. Then, a hydrochloric acid solution is used to leach nickel-cobalt-manganese components from the lower layer of the cryolite-based electrolyte. The effects of acid concentration, liquid-solid ratio, and temperature on the leaching process are investigated through single factor experiments. The highest leaching rates of nickel, cobalt, and manganese elements reach 99.47%, 98.94%, and 98.27%, respectively. By using NaOH + NH3·H2O to adjust the pH of the leaching solution, coprecipitation of nickel, cobalt, and manganese elements occur, producing a hydroxide precursor and resulting in recovery rates of over 99%. The recycled hydroxide precursor and new lithium source are then roasted to regenerate an LNCM811 cathode material, which has a layered microstructure and is assembled into a battery. Test results show that the battery has a discharge capacity of 200.8 mAh·g-1 initially and 170.4 mAh·g-1 after 100 cycles.",,"{'Battery_Material/Battery_Type': ['Lithium-ion batteries'], 'Recycling_Process_Used': ['leaching and precipitation process'], 'Process_Conditions/Battery_Properties': ['acid concentration: 0.2 mol·L−1', 'liquid-solid ratio: 10 g·L−1', 'temperature: 90 °C'], 'Recovered_Materials': ['nickel-cobalt-manganese precursor']}
",328,FALSE
185,10.1016/j.psep.2023.07.065,Selective recovery of lithium from spent lithium-ion battery by an emission-free sulfation roasting strategy,"As the economy recovered from the COVID-19 epidemic, the price of Li2CO3 skyrocketed to the highest. Recovery of lithium from spent lithium-ion batteries (LIBs) is significant for addressing lithium shortage and environmental issues. Sulfation roasting is often accused of being unsustainable and not environmentally friendly due to the consumption of expensive sulfation reagents and emission of SO2. Herein, a novel and green recycling process for selective separation of lithium from spent LiMn2O4 (LMO) batteries was proposed based on a SO2 emission free sulfation roasting with waste copperas. Lithium in the cathode power were selectively sulfated into soluble Li2SO4 with a conversion of 99.50%, while manganese was riched as insoluble oxides. At low temperature (e.g. 400 °C), LMO were difficult to be sulfated due to the limited sulfation ability of SO4 2- and mass transfer. When the roasting temperature reached 700 °C, SO2 was produced and the generated SO2 reacted in situ with the LMO to form Li2SO4 and MnSO4, preventing SO2 emissions into the atmosphere. As temperature continued to increase, the MnSO4 acted as a sulfation reagent and sulfated the unreacted LMO. All the sulfur was immigrated in Li2SO4, rather than being emitted as SO2.",,"{'Battery_Material/Battery_Type': ['lead-acid batteries'], 'Recycling_Process_Used': ['leaching', 'solvent extraction', 'electrochemical treatment'], 'Process_Conditions/Battery_Properties': ['pH 1.5', 'H2SO4 2.0 M', 'H2O2 1.0 M', 'Na2S 2.0 M', 'voltage 2.0 V', 'time 60 min'], 'Recovered_Materials': ['Pb', 'S', 'Ni', 'Co', 'Cu']}
",332,FALSE
186,10.1016/j.seppur.2022.122559,Separation and recovery of nickel cobalt manganese lithium from waste ternary lithium-ion batteries,"In this paper, a combination of precipitation and solvent extraction was used to study the separation and recovery of nickel, cobalt, manganese and lithium from the acid leach solution of wasted ternary lithium-ion battery cathode materials. The effects of sulfuric acid concentration, hydrogen peroxide addition, liquid-to-solid ratio, time and temperature on the metal leaching rate were optimized, and the leaching kinetic analysis showed that the metal leaching was controlled by both the diffusion of the solid-phase product layer and the chemical reaction, but the diffusion of the solid-phase product layer was dominant. Dimethylglyoxime (DMG) was first used to remove nickel as Ni-(C4H8N2O2)2, and P204 and C272 were used to extract manganese and cobalt ions from the post-nickel removal solution step by step. The effects of volume fraction of organic solvent, O/A, pH of the aqueous phase and extraction time on the extraction rate were optimized, and the extraction mechanism was analyzed by FT-IR and slope method as a cation exchange reaction, specifically the ionic exchange of metal ions with H+ in the POH of the organic solvent, and also the coordination of trace metal ions with the PO, Finally, the metals in loaded organic phase were stripped to the solution by dilute sulfuric acid which were recovered as MnO2, CoC2O4 and Li2CO3, respectively. The recovery rates for nickel, cobalt, manganese and lithium in the whole process were 96.84 %, 81.46 %, 92.65 % and 91.39 % respectively, a technical route to recover nickel, cobalt, manganese and lithium from ternary LIBs was optimized, and extractants and DMG in the process could be recycled and reused.",,"{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['leaching', 'solvent extraction', 'stripping'], 'Process_Conditions/Battery_Properties': ['pH=1.0', 'O/A=1', 'time=24h', '30% H2SO4'], 'Recovered_Materials': ['MnO2', 'CoC2O4', 'Li2CO3']}
",276,FALSE
187,10.1016/j.cjche.2021.10.012,Direct regeneration of LiNi0.5Co0.2Mn0.3O2 cathode material from spent lithium-ion batteries,"At present, metal ions from spent lithium-ion batteries are mostly recovered by the acid leaching procedure, which unavoidably introduces potential pollutants to the environment. Therefore, it is necessary to develop more direct and effective green recycling methods. In this research, a method for the direct regeneration of anode materials is reported, which includes the particles size reduction of recovered raw materials by jet milling and ball milling, followed by calcination at high temperature after lithium supplementation. The regenerated LiNi0.5Co0.2Mn0.3O2 single-crystal cathode material possessed a relatively ideal layered structure and a complete surface morphology when the lithium content was n(Ni + Co + Mn):n(Li) = 1:1.10 at a sintering temperature of 920 °C, and a sintering time of 12 h. The first discharge specific capacity was 154.87 mA·h·g−1 between 2.75 V and 4.2 V, with a capacity retention rate of 90% after 100 cycles.",,"{'Battery_Material/Battery_Type': ['Lithium-ion batteries'], 'Recycling_Process_Used': ['leaching and precipitation'], 'Process_Conditions/Battery_Properties': ['H2SO4 concentration of 1.0 mol/L', 'pH value of 2.0', 'solid/liquid ratio of 100 g/L', 'precipitation time of 120 min', 'precipitation temperature of 40 °C', 'leaching time of 24 h', 'leaching temperature of 80 °C', 'solid content of 30 g/L', 'pH value of 1.0', 'leaching time of 48 h', 'leaching temperature of 100 °C'], 'Recovered_Materials': ['Li2CO3']}
",522,FALSE
