Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature,Recovered Materials,Efficiencies,Type of %,Recovered Element 1,Efficiency 1 (%),Recovered Element 2,Efficiency 2 (%),Recovered Element 3,Efficiency 3 (%),Recovered Element 4,Efficiency 4 (%),Recovered Element 5,Efficiency 5 (%),Total Cost Approx. ($),Total Energy Approx. (J)
160,10.1016/j.wasman.2019.09.044,Stepwise recycling of valuable metals from Ni-rich cathode material of spent lithium-ion batteries,"A novel and efficient approach for stepwise recycling of valuable metals from Ni-rich cathode material is developed. First, the spent cathode materials are leached by H2SO4â€¯+â€¯H2O2 solution. The leaching efficiencies of lithium, nickel, manganese and cobalt reach almost 100%, 100%, 94% and 100%, respectively, under the conditions of 2â€¯M sulfuric acid, 0.97â€¯M hydrogen peroxide, 10â€¯mlÂ·gâˆ’1 liquid-solid ratio, 30â€¯min and 80â€¯Â°C. Then, manganese and cobalt are co-extracted from the leaching liquor with PC88A, while almost 99% nickel and 100% lithium remain in the raffinate followed by being separated from each other by solvent extraction with neodecanoic acid (Versatic 10). The results show that 98% manganese and over 90% cobalt are co-extracted at pHâ€¯=â€¯5, 30â€¯vol% PC88A and volume ratio of oil to water (O:A)â€¯=â€¯2:1, while 100% nickel is separated from lithium under the optimum extraction conditions of initial pHâ€¯=â€¯4, O:Aâ€¯=â€¯1:3 and 30â€¯vol% Versatic 10. Finally, cobalt and manganese in the strip liquor of co-extraction are separated by selective precipitation method. Over 90% manganese is separated from cobalt under the conditions of pHâ€¯=â€¯0.5, 0.076â€¯M KMnO4, 80â€¯Â°C and 60â€¯min.",Lithium-ion batteries (LIBs),"chemical leaching, solvent extraction, selective precipitation","pH, vol% PC88A, volume ratio of oil to water (O:A), 30â€¯vol% Versatic 10, pH, 0.076â€¯M KMnO4, 80â€¯Â°C, 60â€¯min","lithium, nickel, manganese, cobalt",80,Lithium (Li)|Nickel (Ni)|Manganese (Mn)|Cobalt (Co),100|100|94|100,leaching efficiency,Li,100%,Ni,100%,Mn,94%,Co,100%,,,1.82,64282
62,10.1016/j.wasman.2017.09.032,Hydrometallurgical recycling of lithium-ion batteries by reductive leaching with sodium metabisulphite,"The hydrometallurgical extraction of metals from spent lithium-ion batteries (LIBs) was investigated. LIBs were first dismantled and a fraction rich in the active material was obtained by physical separation, containing 95% of the initial electrode, 2% of the initial steel and 22% of plastic materials. Several reducers were tested to improve metals dissolution in the leaching step using sulphuric acid. Sodium metabisulphite led to the best results and was studied in more detail. The best concentration of Na2S2O5 was 0.1â€¯M. The metals dissolution increased with acid concentration, however, concentrations higher than 1.25â€¯M are unnecessary. Best results were reached using a stirring speed of 400â€¯minâˆ’1. The metals leaching efficiency from the active material (Li, Mn, Ni, Co) increased with the temperature and was above 80% for temperatures higher than 60â€¯Â°C. The dissolution of metals also rose with the increase in the liquid/solid ratio (L/S), however, extractions above 85% can be reached at L/S as lower as 4.5â€¯L/kg, which is favourable for further purification and recovery operations. About 90% of metals extraction can be achieved after only 0.5â€¯h of leaching. Sodium metabisulphite can be an alternative reducer to increase the leaching of Li, Mn, Co, and Ni from spent LIBs.",Lithium-ion batteries (LIBs),Hydrometallurgical extraction of metals,"Stirring speed of 400â€¯minâˆ’1, Best concentration of Na2S2O5 was 0.1â€¯M, Temperatures higher than 60â€¯Â°C, L/S as lower as 4.5â€¯L/kg","Nickel, cobalt, manganese, lithium",60,Lithium (Li)|Manganese (Mn)|Nickel (Ni)|Cobalt (Co),80|80|80|80,leaching efficiency,Li,80%,Mn,80%,Ni,80%,Co,80%,,,595.73333,34437.33333
165,10.1016/j.jenvman.2021.113710,Leaching kinetics and interface reaction of LiNi0.6Co0.2Mn0.2O2 materials from spent LIBs using GKB as reductant,"The application of green reductant is signification to recycling of cathode materials from spent lithium ions batteries. Here, ginkgo biloba was developed for enhancing leaching of spent LiNi0.6Co0.2Mn0.2O2 materials with systematically analysis of leaching kinetics and interface reaction. The leaching efficiencies of Ni, Mn, Co, and Li reach respectively 98.65 %, 98.25 %, 98.41 % and 99.99 % under optimal condition of 1.8 mol/L H2SO4 concentration, 9 g/L ginkgo biloba, 80 Â°C leaching temperature, 40 min time and 15 g/L pulp density. The apparent activation energies for leaching of Ni, Co, Mn and Li determined as 74.63, 79.33, 73.14 and 23.43 kJ/mol, respectively, indicates that the leaching process was controlled by the surface chemical reaction during the leaching process. Meanwhile, the regenerated material with better electrochemical performance was obtained by co-precipitation and calcination from leachate. Finally, the process is environmental friendly and economical feasible for recycling of spent lithium-ion batteries.",Lithium-ion batteries (LIBs),hydrometallurgical process,"1.8 mol/L H2SO4 concentration, 9 g/L ginkgo biloba, 80 Â°C leaching temperature, 40 min time and 15 g/L pulp density","lithium, nickel, cobalt, manganese",80,Nickel (Ni)|Manganese (Mn)|Cobalt (Co)|Lithium (Li),98.65|98.25|98.41|99.99,leaching efficiency,Ni,98.65%,Mn,98.25%,Co,98.41%,Li,99.99%,,,24.309,64226.167
24,10.1016/j.hydromet.2023.106243,Efficient extraction of valuable metals from spent LiNi0.5Co0.2Mn0.3O2 cathode based on an acid-free leaching process,"The traditional liquid acid leaching method for recycling spent lithium-ion batteries (LIBs) has serious environmental pollution and unsafe transportation. In this study, solid sodium bisulfate was applied as a leaching agent to recover lithium, cobalt, nickel and manganese from the cathode active material of spent LIBs in the presence of a reductant, hydrogen peroxide. It was found that the leaching efficiencies were approximately 93.0, 91.5, 95.5 and 96.6%, respectively, for Ni, Co, Mn and Li under the conditions of 1 mol/L NaHSO4 and 3 vol% H2O2 as reductant within 30 min at 70 Â°C and a pulp density of 20 g/L. Kinetic data for the dissolution of valuable metals in the temperature range 40â€“70 Â°C showed the kinetic model governed by the Avrami equation. The apparent activation energies for leaching of Ni, Co, Mn and Li were determined as 43.8, 44.2, 42.2 and 27.5 kJ/mol, respectively, indicating that the leaching process was controlled by a surface chemical reaction. This process can be a convenient alternative method for recovering valuable metals from spent LiNi0.5Co0.2Mn0.3O2.",Lithium-ion batteries (LIBs),solid sodium bisulfate,"1 mol/L NaHSO4 and 3 vol% H2O2 as reductant, 30 min at 70 Â°C and a pulp density of 20 g/L","lithium, cobalt, nickel and manganese",70,Nickel (Ni)|Cobalt (Co)|Manganese (Mn)|Lithium (Li),93|91.5|95.5|96.6,leaching efficiency,Ni,93.00%,Co,91.50%,Mn,95.50%,Li,96.60%,,,174.04833,51306.65
28,10.1016/j.seppur.2022.121782,A green process to recover valuable metals from the spent ternary lithium-ion batteries,"The traditional inorganic acid leaching method for recycling spent ternary lithium-ion batteries (NCM) materials presents serious environmental pollution and unsafe problems. In this study, a green leaching process for recovering valuable metals from the spent NCM materials using dl-malic acid as the leaching agent and glucose as the reductant is developed, and systematicalsly investigates the leaching kinetics and interface reaction. The results suggest that the leaching efficiencies of Ni, Co, Mn, and Li reach 90.14 %, 90.58 %, 98.66 %, and 98.53 %, respectively, under the optimal conditions of 1 mol/L dl-malic acid, 0.5 g/g glucose, 90â„ƒ leaching temperature, and 25 g/L pulp density for 120 min. The apparent activation energies for leaching of Ni, Co, Mn, and Li are determined as 55.45, 76.08, 39.42, and 42.09 kJ/mol, respectively, indicating that the surface chemical reaction is the rate-controlling step during this leaching process. This process can be an environmentally friendly alternative method to recover valuable metals from spent NCM.",Lithium-ion batteries (LIBs),solvent extraction,"HCl:NH4OH=1:1 molar ratio, pH=1.5, temperature=40Â°C, dilution ratio=1:2, extraction time=24h","lithium, cobalt, manganese, nickel",40,Nickel (Ni)|Cobalt (Co)|Manganese (Mn)|Lithium (Li),90.14|90.58|98.66|98.53,leaching efficiency,Ni,90.14%,Co,90.58%,Mn,98.66%,Li,98.53%,,,169.54063,20733.60167
108,10.1016/j.hydromet.2023.106152,Electric field-assisted leaching of valuable metals from spent lithium-ion batteries in a mixture of acetic acid and ascorbic acid,"Recovery of valuable metals from spent lithium-ion batteries (LIBs) has great economic and environmental value. In this study, mixtures of acetic acid and ascorbic acid were used to leach valuable metals from the cathode plates of spent LIBs with assistance from an electric field. Thermodynamic analysis showed that the metal oxides of spent LIBs could be dissolved in the form of metal ions by adjusting potential and pH. Leaching conditions, including the concentrations of acetic acid and ascorbic acid, working voltage, reaction temperature, and reaction time, were systematically investigated. Under conditions with acetic acid concentration of 1 mol/L, ascorbic acid concentration of 0.1 mol/L, working voltage of 4 V, reaction temperature 25 Â°C and reaction time 70 min, the leaching efficiency of Ni, Co, Mn, and Li reached 99.8%, 99.8%, 99.8%, and 99.9%, respectively. A kinetic study revealed that the surface chemical reaction was the rate-controlling step in the leaching process. The infrared spectra indicated that polyhydroxy groups were transformed into carboxyl or aldehyde groups during mixed acid leaching. The complexity of ascorbic acid and low-valent metal ions increased with leaching time in the ultraviolet spectrum. Finally, the leach residue was analysed using X-ray diffraction (XRD) and scanning electron microscopy-energy dispersive spectroscopy (SEM-EDS), which indicated that the metal oxides in the cathode plate were efficiently leached.",Lithium-ion batteries (LIBs),mixed acid leaching,"acetic acid concentration of 1 mol/L, ascorbic acid concentration of 0.1 mol/L, working voltage of 4 V, reaction temperature of 25 Â°C and reaction time of 70 min","Ni, Co, Mn, Li",25,Nickel (Ni)|Cobalt (Co)|Manganese (Mn)|Lithium (Li),99.8|99.8|99.8|99.9,leaching efficiency,Ni,99.80%,Co,99.80%,Mn,99.80%,Li,99.90%,,,4.56567,5373.599167
131,10.1016/j.cej.2024.152297,A Fe(III)-driven strategy for efficient closed-loop recovery of critical metals from spent LiNi x Co y Mn z O 2 powder,"With the concepts of carbon peaking and carbon neutrality taking hold, the demand for recycling of spent lithium-ion batteries (LIBs) is increasing rapidly. However, current recycling methods are mostly faced with the dilemma of high cost and low efficiency and unable to meet the demand for energy conservation and consumption reduction. Here, inspired by the formation of acid mine drainage (AMD), we propose a Fe(III)-driven recovery approach, in which the leaching of valuable metals is enhanced by the addition of solid reagents Fe2(SO4)3 and pyrite (FeS2) to create an acidic reducing atmosphere. Under optimal conditions, the leaching efficiency of Ni/Co/Mn/Li reached 99.9%. In addition, NH3Â·H2O-NaOH was employed to adjust the pH of the leachate for stepwise precipitation of Fe and Ni/Co/Mn. Li was finally collected as Li2CO3 and Fe(III) could be recycled. We have also made attempts on Ni/Co/Mn co-precipitation and Li2CO3 resynthesis of regenerated LiNi x Co y Mn z O 2 (NCM). It is predicted that this process can provide a green, efficient and economical closed-loop approach for cathode recovery of LIBs, with far-reaching implications for the entire battery recycling industry.",Lithium-ion batteries (LIBs),"leaching, precipitation, regeneration","acidic reducing atmosphere, pH of the leachate, 25 Â°C, pH 1.5","Ni/Co/Mn, Li2CO3, Fe(III)",25,Nickel (Ni)|Cobalt (Co)|Manganese (Mn)|Lithium (Li),99.9|99.9|99.9|99.9,leaching efficiency,Ni,99.90%,Co,99.90%,Mn,99.90%,Li,99.90%,,,2.97867,5375.4525
3,10.1016/j.jece.2024.113521,Recovery of valuable metal elements from spent lithium-ion battery via a low temperature ammonium persulfate roasting approach,"A low-cost and eco-friendly recycling method is crucial for recovering valuable elements from end-of-life lithium-ion batteries (LIBs), which plays a vital role in addressing resource scarcity and reducing the environmental impact. This study aims to develop a low-temperature pyro-metallurgical combined process to recycle spent LiNi0.5Co0.2Mn0.3O2 (NCM523). Unlike traditional pyrometallurgy methods that generate liquid alloys and slags at temperatures exceeding 1000 Â°C, the (NH4)2S2O8 roasting approach operates at 350 Â°C and converts NCM523 to water-soluble sulfates, exhibiting remarkable leaching efficiencies of Li, Ni, Co, and Mn, with values of 99.43â€¯%, 99.87â€¯%, 98.88â€¯%, and 99.19â€¯%, respectively. Systematic studies were conducted to investigate the influence of roasting temperature, (NH4)2S2O8-to-NCM mass ratio, and roasting time on the sulfation process. Furthermore, the mechanism of sulfation reaction was identified by combining experiments with thermodynamic calculation. At temperatures above 160 Â°C, (NH4)2S2O8 decomposes into (NH4)2S2O7, which reacts with NCM. Lithium in a layered structure forms Li2SO4, while transition elements form MnSO4, Li2Co (SO4)2, and NiSO4. At around 350 Â°C, (NH4)2S2O8 further decomposes into NH4HSO4, releasing SO2 and NH3. SO2 reacts with remaining NCM or unsulfated transition metal oxides, converting them into MnSO4, Li2Co (SO4)2, and NiSO4. Above 800 Â°C, the metal sulfates decompose into stable oxides. This study presents a low-temperature sulfation method that effectively disintegrates the crystal structure of lithium metal oxides without the need for acids or reducing agents.",Lithium-ion batteries (LIBs),low-temperature pyro-metallurgical combined process,350 °C,"water-soluble sulfates, NH4HSO4",350,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.43|99.87|98.88|99.19,leaching efficiency,Li,99.43%,Ni,99.87%,Co,98.88%,Mn,99.19%,,,21.02587,353012.0385
6,10.1016/j.wasman.2017.02.011,Leaching process for recovering valuable metals from the LiNi1/3Co1/3Mn1/3O2 cathode of lithium-ion batteries,"In view of the importance of environmental protection and resource recovery, recycling of spent lithium-ion batteries (LIBs) and electrode scraps generated during manufacturing processes is quite necessary. An environmentally sound leaching process for the recovery of Li, Ni, Co, and Mn from spent LiNi1/3Co1/3Mn1/3O2-based LIBs and cathode scraps was investigated in this study. Ehâ€“pH diagrams were used to determine suitable leaching conditions. Operating variables affecting the leaching efficiencies for Li, Ni, Co, and Mn from LiNi1/3Co1/3Mn1/3O2, such as the H2SO4 concentration, temperature, H2O2 concentration, stirring speed, and pulp density, were investigated to determine the most efficient conditions for leaching. The leaching efficiencies for Li, Ni, Co, and Mn reached 99.7% under the optimized conditions of 1M H2SO4, 1vol% H2O2, 400rpm stirring speed, 40g/L pulp density, and 60min leaching time at 40Â°C. The leaching kinetics of LiNi1/3Co1/3Mn1/3O2 were found to be significantly faster than those of LiCoO2. Based on the variation in the weight fraction of the metal in the residue, the â€œcubic rate lawâ€ was revised as follows: Î¸(1âˆ’ f)1/3 =(1âˆ’ kt/r 0 Ï), which could characterize the leaching kinetics optimally. The activation energies were determined to be 64.98, 65.16, 66.12, and 66.04kJ/mol for Li, Ni, Co, and Mn, respectively, indicating that the leaching process was controlled by the rate of surface chemical reactions. Finally, a simple process was proposed for the recovery of valuable metals from spent LiNi1/3Co1/3Mn1/3O2-based LIBs and cathode scraps.",Lithium-ion batteries (LIBs),leaching process,"1M H2SO4, 1vol% H2O2, stirring speed: 400rpm, pulp density: 40g/L, leaching time: 60min at 40°C","Li, Ni, Co, and Mn",40,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.7|99.7|99.7|99.7,leaching efficiency,Li,99.70%,Ni,99.70%,Co,99.70%,Mn,99.70%,,,8.936,21458.76333
37,10.1016/j.wasman.2023.01.013,Acid-free extraction of valuable metal elements from spent lithium-ion batteries using waste copperas,"A large amount of hazardous spent lithium-ion batteries (LIBs) is produced every year. Recovery of valuable metals from spent LIBs is significant to achieve environmental protection and alleviate resource shortages. In this study, a green and facile process for recovery of valuable metals from spent LIBs by waste copperas was proposed. The effects of heat treatment parameters on recovery efficiency of valuable metals and the redox mechanism were studied systematically through phase transformation behavior and valence transition. At low temperature (â‰¤460 Â°C), copperas reacted with lithium on the outer layer of LIBs preferentially, but the reduction of transition metals was limited. As the temperature rose to 460â€“700 Â°C, the extraction efficiency of valuable metals was greatly enhanced due to the generation of SO2, and the gasâ€“solid reaction proceeded much fast than the solidâ€“solid reaction. In the final stage (â‰¥700 Â°C), the main reactions were the thermal decomposition of soluble sulfates and the combination of decomposed oxides with Fe2O3 to form insoluble spinel. Under the optimum roasting conditions, i.e., at a copperas/LIBs mass ratio of 4.5, and a roasting temperature of 650 Â°C and roasting time of 120 min, the leaching efficiencies of Li, Ni, Co and Mn were 99.94%, 99.2%, 99.5% and 99.65%, respectively. The results showed that valuable metals can be selectively and efficiently extracted from the complex cathode materials by water leaching. This study used waste copperas as an aid to recover metals and provided an alternative technical route for green recycling of spent LIBs.",Lithium-ion batteries (LIBs),roasting,"4.5, 650 Â°C, 120 min","lithium, Ni, Co, Mn",650,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.94|99.2|99.5|99.65,leaching efficiency,Li,99.94%,Ni,99.20%,Co,99.50%,Mn,99.65%,,,10.1145,676341.561
54,10.1016/j.hydromet.2022.106000,Separation of Cu impurity from spent lithium-ion batteries by roasting in air and leaching with (NH4)2CO3 solution of low concentration,"Separation of Cu impurities from spent lithium-ion batteries (LIBs) before precipitating other valuable metals is critical to improve the quality of final products. Currently, the main process for separating Cu impurity from spent LIBs by extraction and precipitation has the disadvantage of being high cost and complicated process. In this work, the surface characteristics of spent LIBs materials before and after thermal treatment are explored, and the effects of the concentration of ammonium salts, temperature, and pulp density on the leaching of Cu impurity are investigated. The novel process proposed in this work removes Cu impurities from spent LIBs materials using a solution of (NH4)2CO3 at low concentration. The results suggest that organics on the spent LIBs surface can be effectively removed by heating at a temperature of 505 Â°C to avoid the influence of organics on the removal of Cu impurities. Furthermore, the results of the leaching experiment demonstrate that (NH4)2CO3 displays an excellent leaching effect on Cu compared to NH4Cl, (NH4)2SO4, and NH4HCO3. The leaching efficiency of Cu at the concentration of 0.25 mol/L (NH4)2CO3, temperature 80 Â°C and leaching time of 120 min reaches 99.1%. On the contrary, the leaching efficiencies of Ni, Co, and Mn are <4% on average. The thermodynamic analysis proves the potential for removing Cu impurities from spent LIBs materials using a solution of (NH4)2CO3 at low concentration. The process lays the foundation for the subsequent hydrometallurgical process to recover other metals.",Lithium-ion batteries (LIBs),leaching process,"pulp density of 100 g/L, temperature of 80 Â°C, leaching time of 120 min","lithium, Ni, Co, Mn, and Cu",80,Copper (Cu)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.1|4|4|4,leaching efficiency,Cu,99.10%,Ni,4%,Co,4%,Mn,4%,,,1524.42,4704.95
60,10.1016/j.jclepro.2024.142624,A tandem approach for precipitant-free highly selective recovery of valuable metals from end-of-life lithium-ion batteries using a green deep eutectic solvent,"Recently, recycling lithium-ion batteries (LIBs) waste and the efficient recovery of valuable metals has become crucial for the circular economy. Deep eutectic solvents (DESs) have shown immense potential for metal extraction from end-of-life (EoL) LIBs. However, a complicated subsequent separation process is required due to the non-selectivity of the DES components for metal. Herein, we propose a tandem precipitant-free hydrometallurgical process for the selective recovery of Li and other valuable metals (Ni, Co, Mn) from EoL LIBs using a green DES. The process parameters, viz., reaction temperature (T), time (t), pulp density (S/L), and molar ratio (MR) of ethylene glycol to tartaric acid, were optimized via the statistical optimization technique of response surface methodology. The results revealed maximum extraction efficiencies of 99.2 Â± 0.5%, 96.1 Â± 1.4%, 95.2 Â± 1.2%, and 97.8 Â± 1.5% for Li, Ni, Co, and Mn, respectively, under the optimized process conditions of T = 118 Â°C, t = 17 min, S/L = 42 g/L, and MR = 3:1. The kinetic study showed that interfacial reaction governed the extraction process. A plausible mechanism depicting the role of DES constituents in synergistically facilitating the extraction reaction was elucidated. Moreover, Li and other metals (Ni, Co, and Mn) were selectively separated and recovered with an overall efficiency of âˆ¼99%. The reusability of the recovered metal products and the DES were also assessed for a closed-loop recycling process. At the outset, the proposed process paves the way for a greener alternative for recycling valuable metals from EoL LIBs rather than conventional acid-based leaching processes.",Lithium-ion batteries (LIBs),hydrometallurgical process,"118 Â°C, 17 min, 42 g/L, 3:1","lithium, Ni, Co, Mn",118,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.2|96.1|95.2|97.8,extraction efficiency,Li,99.20%,Ni,96.10%,Co,95.20%,Mn,97.80%,,,82.35067,103504.3333
68,10.1016/j.matchemphys.2024.129221,Research on the recycling of waste lithium battery electrode materials using ammonium sulfate roasting,"Owing to resource limitations, environmental pollution concerns, and the increasing global demand for lithium-ion battery raw materials, the recycling of discarded electrode materials from lithium-ion batteries has emerged as a prominent research area. Nevertheless, among various types of discarded lithium battery electrode materials, limited research has been conducted on the recycling of ternary electrode materials (LiNi x Co y Mn1-x-y O2). This study proposes an eco-friendly process for the efficient recovery of valuable metals and carbon from mixed materials of discarded ternary lithium-ion battery electrodes. This study investigated the influence of various roasting using ammonium sulfate and leaching conditions on the conversion and extraction rates of valuable metals. Under the condition of a 3:1 mass ratio of ammonium sulfate to lithium battery electrode mixed material, roasting temperature of 450 Â°C, roasting time of 30 min, liquid-solid ratio of 20:1, leaching time of 20 min, and leaching temperature of 60 Â°C, the recovery rates of various valuable metals including Li, Ni, Co, and Mn reached 99.99%. For the above process, the chemical control reaction prevailed in the initial 10 min of the roasting reaction, succeeded by the dominance of diffusion control reaction in the subsequent 20 min. In the leaching process, the chemical control reaction governed the first 2 min, succeeded by diffusion control reaction for the next 18 min. Analysis of the reaction's macroscopic and microscopic mechanisms reveals that ammonium sulfate roasting of waste ternary lithium-ion batteries constitutes a typical liquid-solid reaction. In the molten state, NH4 + decomposition releases high-energy H+ ions that break the bonds between metals and oxygen. Consequently, metal atoms from the waste battery's crystal structure combine with ammonium sulfate's sulfate groups, forming various metal sulfates. This paper establishes an eco-friendly process for the efficient recovery of valuable metals by employing the ammonium sulfate roasting method to convert valuable metals in discarded electrode mixed materials into water-soluble sulfates.",Lithium-ion batteries (LIBs),"Hydrometallurgical leaching, roasting","3:1 mass ratio of ammonium sulfate to lithium battery electrode mixed material, roasting temperature of 450 Â°C, roasting time of 30 min, leaching time of 20 min, leaching temperature of 60 Â°C","lithium, Ni, Co, Mn",450,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.99|99.99|99.99|99.99,recovery rate,Li,99.99%,Ni,99.99%,Co,99.99%,Mn,99.99%,,,0.29787,462705.3915
84,10.1016/j.psep.2022.07.012,Carbon thermal reduction of waste ternary cathode materials and wet magnetic separation based on Ni/MnO nanocomposite particles,"The widespread use of lithium-ion batteries and the increase in the number of new energy electric vehicles have brought more waste batteries to be recycled. In this paper, a new combined process for in-situ recycling of wasted ternary lithium batteries using graphite for carbon thermal reduction with the cathode material under nitrogen atmosphere, after which the nanocomposite particles formed by the reduction products were separated and recovered by wet magnetic separation, has been proposed. The carbon thermal reduction products were Li2CO3, Ni, Co and MnO, respectively, and Ni and Co could form nanocomposite particles with MnO in the thermal reduction process. The reaction mechanism of the carbon thermal reduction reaction of anode materials and the effects of carbon thermal reduction temperature, wet magnetic separation time and solid-to-liquid ratio on the recovery rate were investigated. The recovery rate of Li, Ni, Co and Mn were 95.57 %, 96.44 %, 94.88 % and 94.98 %, respectively, under the optimum condition of reaction temperature of 650 Â°C, wet magnetic separation time of 75 min and solid-liquid ratio of 15 g/L, respectively.",Lithium-ion batteries (LIBs),in-situ recycling of wasted ternary lithium batteries using graphite for carbon thermal reduction with the cathode material under nitrogen atmosphere,"carbon thermal reduction temperature of 650 Â°C, wet magnetic separation time of 75 min, solid-liquid ratio of 15 g/L","Li2CO3, Ni, Co and MnO",650,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),95.57|96.44|94.88|94.98,recovery rate,Li,95.57%,Ni,96.44%,Co,94.88%,Mn,94.98%,,,135.6469,647870.1285
136,10.1016/j.wasman.2022.07.014,Mechanochemically assisted persulfate activation for the facile recovery of metals from spent lithium ion batteries,"A novel mechanochemically assisted persulfate activation method was proposed in this study to enhance the leaching of valuable metals from lithium-ion batteries by combining ball-milling, advanced oxidation processes and sucrose reduction. By optimizing leaching parameters including temperature, pH, milling time and solid-to-liquid ratio, high leaching efficiencies of 97.1%, 94.0%, 87.6% and 93.8% can be achieved for Li, Ni, Co and Mn respectively. In the mechanochemical process, the breakage of covalent bonds in cathode material is facilitated by free radicals generated from zero valent iron activated ammonia persulfate as well as mechanochemical activation. To further explore the role of free radicals, the mechanism of ammonia persulfate activation by zero valent iron was elucidated, and SO4 â€¢- was identified as the dominant reactive oxygen species in the mechanochemical process. Meanwhile, the synergistic effect of mechanochemically driven crystal dissolution and sulfate radical facilitated bond cleavage was revealed by ab initio molecular dynamics simulation. Moreover, the released metal was reduced by sucrose to a lower valent state of high solubility to promote transfer to the aqueous phase during the subsequent leaching process with dilute sulfuric acid. In this work, the insight on the mechanism of mechanochemical processes strengthened by free radicals may provide an inspiration for the recovery of valuable metals from LIBs.",Lithium-ion batteries (LIBs),mechanochemically assisted persulfate activation,"mill temperature of 100 Â°C, pH of 2.5, mill time of 60 min, solid-to-liquid ratio of 100 g/L","lithium, nickel, cobalt and manganese",100,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),97.1|94|87.6|93.8,leaching efficiency,Li,97.10%,Ni,94%,Co,87.60%,Mn,93.80%,,,205.61233,81947.77333
170,10.1016/j.jhazmat.2021.125575,Recycling of NCM cathode material from spent lithium-ion batteries via polyvinyl chloride and chlorinated polyvinyl chloride in subcritical water: A comparative study,"To date, numerous studies have explored recycling of lithium, nickel, cobalt, and manganese (NCM) from spent lithium-ion batteries (LIBs). Nevertheless, the leaching and efficient separation of the precious metals from NCM active cathode material via an environmentally benign and economical process is still challenging. Therefore, in this research, we present a novel and energy an efficient route through which to leach valuable metals, for example, lithium (Li), nickel (Ni), cobalt (Co), and manganese (Mn) from the NCM cathode material of the waste LIBs using water-containing waste chlorinated polyvinyl chloride (CPVC) or polyvinyl chloride (PVC) in a batch reactor. Parameters such as temperature, time, liquid-solid, and mass ratios on the extraction efficiencies of Li, Ni, Co, and Mn were carefully examined. The outcomes show that CPVC performed better than PVC for the extraction of valuable metals from NCM material, and this was attributed to its high Cl contents. The maximum extraction efficiencies of Li, Ni, Co, and Mn (99.15%, 98.10%, 99.30%, and 100%, respectively) were achieved under optimized reaction conditions: a temperature of 290 Â°C, reaction time of 1 h, a liquid-solid ratio 60:1 mL/g and solid to solid mass ratio of 1:3. The apparent activation energies (Ea) for Li, Ni, Co, and Mn were computed to be (24.42, 28.85, 29.67, and 28.79) kJ/mol. The results obtained in this work, indicated that it may contribute to efforts aiming to reduce industrial chemical consumption and increase sustainability in waste management technique.",Lithium-ion batteries (LIBs),Hydrometallurgical leaching,"290 Â°C, 1 h, 60:1 mL/g and solid to solid mass ratio of 1:3",,290,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.15|98.1|99.3|100,extraction efficiency,Li,99.15%,Ni,98.10%,Co,99.30%,Mn,100%,,,28.28583,287908.3575
