Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature
31,10.1016/j.seppur.2018.07.038,Hydrometallurgical recovery of Zn(II) and Mn(II) from alkaline batteries waste employing aqueous two-phase system,"In this study, a greener method for the recovery of zinc and manganese from alkaline batteries waste was developed using Aqueous Two-Phase System (ATPS). ATPS is a liquid-liquid extraction technique. Zn(II) and Mn(II) were extracted using the diluted liquor from samples of spent alkaline batteries, and the experimental conditions were evaluated considering the effects of the following parameters: (i) nature and concentration of the extractants (1-(2-pyridyl-azo)-2-naphthol (PAN), (bis-4-trimethylpentyl) phosphinic acid (Cyanex 272), diphenylthiocarbazone (dithizone, C13H12N4S) and bis-(2-ethylhexyl) phosphoric acid (D2EHPA)); (ii) pH (3.00, 6.00 and 11.0), (iii) ATPS-forming electrolytes (Na2SO4, C6H5Na3O7 or C4H4Na2O6); (iv) ATPS-forming polymers (L35 and L64); and (v) tie-line length (TLL) and mass ratio between top and bottom phases (mTP/mBP). The recovery efficiency was evaluated using the extraction percentage (%E) and separation factor ( S Zn / M n ) between Zn(II) and Mn(II). The best conditions for selective extraction of the metal ions were achieved using an ATPS composed by L64â€¯+â€¯Na2SO4â€¯+â€¯H2O at pHâ€¯=â€¯3.00, TLLâ€¯=â€¯41.83% w/w and mTP/mBPâ€¯=â€¯1 using dithizone as the extracting agent and leach liquor with dilution factor equal to 10. This resulted in a value for separation factor of S Zn / M n â€¯=â€¯1.2â€¯Ã—â€¯106, in one extraction stage.",Lithium-ion batteries (LIBs),"Starch reduction, leaching ","1.5 mol/L H2SO4, 6 g/L starch, stirring speed of 500 r/min, 80 °C and 60 min","Ni, Co, and M",80
32,10.1016/S1003-6326(22)66133-8,Leaching kinetics of de-lithium residue from spent ternary lithium-ion battery cathodic materials with starch as reductant,"Starch was employed as a reductant for the recovery of Ni, Co, and Mn from ternary lithium-ion batteries (LIBs) cathodic materials de-lithium residue, and the leaching kinetics and mechanism were studied. The effects of stirring speed, leaching temperature, H2SO4 concentration, and starch dosage on leaching efficiencies of Ni, Co, and Mn from de-lithium residue were systematically investigated. Optimized conditions (1.5 mol/L H2SO4, 6 g/L starch, stirring speed of 500 r/min, 80 Â°C and 60 min) yielded leaching efficiencies of 98.07%, 96.52%, and 98.06 %, for Ni, Co, and Mn, respectively. Apparent activation energies, described by the chemically controlled unreacted shrinking core model, were 93.32, 102.84, and 95.68 kJ/mol, for Ni, Co, and Mn, and their apparent reaction orders in H2SO4 were 0.9225, 1.0335, and 1.1285, respectively. Starch is abundant, affordable, and exceptionally alternative to conventional reductants for the recovery of valuable metals from spent ternary LIBs.",Lithium-ion batteries (LIBs),"extraction system composed of 0.4 mol/L 2-thenoyltrifluoroacetone (HTTA), 0.4 mol/L trioctylphosphine oxide (TOPO), and ionic liquid (IL) 1-Butyl-3-MethylImidazolium bis (trifluoromethyl sulfonyl) imide","O/A = 1/1, 25 °C, reaction time 20 min, and pH = 3.65",LiNi1/3Co1/3Mn1/3O2,25
33,10.1016/j.cej.2023.145006,Separation of metals from acetic acid leaching solution of spent lithium-ion batteries by ionic liquid system,"Spent Li-ion batteries (LIBs) pollute the environment and endanger human health; however, they are valuable mineral resources. Here, we designed an extraction system composed of 0.4 mol/L 2-thenoyltrifluoroacetone (HTTA), 0.4 mol/L trioctylphosphine oxide (TOPO), and ionic liquid (IL) 1-Butyl-3-MethylImidazolium bis (trifluoromethyl sulfonyl) imide to recover valuable metals from spent LIBs. Under the optimum conditions (O/A = 1/1, 25 Â°C, reaction time 20 min, and pH = 3.65, the pH of the solution does not need to be adjusted), over 99.54% of Co, 99.85% of Mn, and 99.68% of Ni were extracted, while only 2.84% of Li were coextracted. The ultraviolet spectrum analysis showed that the spectral peaks of the stripping solution changed at 266 and 293 nm, indicating that CH3COOâ€“ participated in the extraction reaction. Following stripping with sulfuric acid, the pH of the solution was adjusted with 2.0 mol/L NaOH, and approximately 99% of the Al3+ ions were precipitated. Nickel and manganese sulphates were added to the stripping solution. The precursor was prepared using a coprecipitation method. The precursor was then mixed with lithium hydroxide and calcined at 1000 Â°C for 12 h to obtain LiNi1/3Co1/3Mn1/3O2.",Lithium-ion batteries (LIBs),ultrasound-assisted leaching,"90 W ultrasound power, 1.0 mol/L DL-malic acid, 5 g/L pulp density, 80 °C, 4 vol% H2O2, and 30 min","Ni, Li, Co, and Mn, LiNi0.6Co0.2Mn0.2O2 ",80
34,10.1016/j.wasman.2019.12.002,Recycling of cathode material from spent lithium ion batteries using an ultrasound-assisted DL-malic acid leaching system,"Herein, a novel process involving ultrasound-assisted leaching developed for recovering Ni, Li, Co, and Mn from spent lithium-ion batteries (LIBs) is reported. Carbonate coprecipitation was utilized to regenerate LiNi0.6Co0.2Mn0.2O2 from the leachate. Spent cathode materials were leached in DL-malic acid and hydrogen peroxide (H2O2). The leaching efficiency was investigated by determining the contents of metal elements such as Li, Ni, Co, and Mn in the leachate using atomic absorption spectrometry (AAS). The filter residue and the spent cathode materials were examined using Fourier transform infrared (FTIR) and scanning electronic microscopy. The leaching efficiencies were 97.8% for Ni, 97.6% for Co, 97.3% for Mn, and 98% for Li under the optimized conditions (90 W ultrasound power, 1.0 mol/L DL-malic acid, 5 g/L pulp density, 80 Â°C, 4 vol% H2O2, and 30 min). The leaching kinetics of the cathode in DL-malic acid are in accordance with the log rate law model. The electrochemical analysis indicates that the LiNi0.6Co0.2Mn0.2O2 regenerated at pH 8.5 has good electrochemical performance. The specific capacity of the first discharge at 0.1 C is 168.32 mA h gâˆ’1 at 1 C after 50 cycles with a capacity retention of 85.0%. A novel closed-loop process to recycle spent cathode materials was developed, and it has potential value for practical application and for contributing to resource recycling and environmental protection.",Lithium-ion batteries (LIBs),"two-stage calcination, simple acid leaching, ","1.5 M HCI, 60 min and solid-liquid ratio (S/L) of 100 g·L−1",lithium and graphite,
35,10.1016/j.wasman.2019.01.008,A process for combination of recycling lithium and regenerating graphite from spent lithium-ion battery,"Recycling lithium and graphite from spent lithium-ion battery plays a significant role in mitigation of lithium resources shortage, comprehensive utilization of spent anode graphite and environmental protection. In this study, spent graphite was firstly collected by a two-stage calcination. Secondly, under the optimal conditions of 1.5â€¯M HCI, 60â€¯min and solid-liquid ratio (S/L) of 100â€¯gÂ·Lâˆ’1, the collected graphite suffers simple acid leaching to make almost 100% lithium, copper and aluminum in it into leach liquor. Thirdly, 99.9% aluminum and 99.9% copper were removed from leach liquor by adjusting pH first to 7 and then to 9, and thenthe lithium was recovered by adding sodium carbonate in leach liquor to form lithium carbonate with high purity (>99%). The regenerated graphite is found to have high initial specific capacity at the rate of 37.2â€¯mAÂ·gâˆ’1 (591â€¯mAhÂ·gâˆ’1), 74.4â€¯mAÂ·gâˆ’1 (510â€¯mAhÂ·gâˆ’1) and 186â€¯mAÂ·gâˆ’1 (335â€¯mAhÂ·gâˆ’1), and with the high retention ratio of 97.9% after 100 cycles, it also displays excellent cycle performance at high rate of 372â€¯mAÂ·gâˆ’1. By this process, copper and lithium can be recovered and graphite can be regenerated, serving as a sustainable approach for the comprehensive utilization of anode material from spent lithium-ion battery.",Lithium-ion batteries (LIBs),novel acid-free leaching route,"discharge capacity of 163.9 mAh g−1 at 0.1 C, 120 mAh g−1 at 4 C",Li2CO3 and FePO4,
36,10.1016/j.jpowsour.2007.02.046,Hydrometallurgical process for recovery of cobalt from waste cathodic active material generated during manufacturing of lithium ion batteries,"The paper presents a new leaching-solvent extraction hydrometallurgical process for the recovery of a pure and marketable form of cobalt sulfate solution from waste cathodic active material generated during manufacturing of lithium ion batteries (LIBs). Leaching of the waste was carried out as a function of the leachant H2SO4 concentration, temperature, pulp density and reductant H2O2 concentration. The 93% of cobalt and 94% of lithium were leached at suitable optimum conditions of pulp density: 100gLâˆ’1, 2M H2SO4, 5vol.% of H2O2, with a leaching time 30min and a temperature 75Â°C. In subsequent the solvent extraction study, 85.42% of the cobalt was recovered using 1.5M Cyanex 272 as an extractant at an O/A ratio of 1.6 from the leach liquor at pH 5.00. The rest of the cobalt was totally recovered from the raffinate using 0.5M of Cyanex 272 and an O/A ratio of 1, and a feed pH of 5.35. Then the co-extracted lithium was scrubbed from the cobalt-loaded organic using 0.1M Na2CO3. Finally, the cobalt sulfate solution with a purity 99.99% was obtained from the cobalt-loaded organic by stripping with H2SO4.","zinc-carbon and lithium-ion batteries, nickel-manganese-cobalt (NMC) batteries","acid leaching of zinc-carbon battery pastes, selective leaching in oxalic acid followed by crystallization.","750, 800, and 850 °C, 850°C−10h, voltage range of 2.5–4.3 V",manganese (MnO2) and lithium (C2HLiO4.H2O),850
37,10.1016/j.ceramint.2021.11.216,Preparation of spinel LiMn2O4 cathode material from used zinc-carbon and lithium-ion batteries,"Due to the progressive shortage of primary resources and growing environmental concerns over industrial and household residues, proper management of electronic wastes is of great importance in addressing sustainability issues. Spent batteries are considered as important secondary sources of their constituting components. In this study, the co-recycling of used zinc-carbon and lithium-ion batteries was performed aiming at the recovery of their manganese and lithium contents as compounds which can be used as precursors for the synthesis of spinel LiMn2O4. Manganese was recovered in the form of amorphous, submicron, spherical nodules of MnO2 after acid leaching of zinc-carbon battery pastes. Lithium was obtained from nickel-manganese-cobalt (NMC) batteries as its monohydrate oxalate (C2HLiO4.H2O) through selective leaching in oxalic acid followed by crystallization. Lithium carbonate was also prepared by subsequent calcination of the oxalate. The synthesis of LiMn2O4 spinel cathode was investigated using the reclaimed Li- and Mn-containing compounds via solid-state synthesis method. The effect of such parameters as type of precursors (C2HLiO4.H2O/Li2CO3 with Mn2O3/MnO2), temperature (750, 800, and 850 Â°C), and time (8 and 10 h) on the synthesis of LiMn2O4 was investigated. The products were characterized using X-ray diffraction (XRD) and scanning electron microscopy (SEM) techniques. The crystallographic parameters from XRD analysis were used to predict the electrochemical behavior of the synthesized cathode materials. Based on these, the spinel powder synthesized at 850Â°Câˆ’10h from Li2CO3âˆ’Mn2O3 starting mixture was determined as the cathode material with the best electrochemical properties among the synthesized samples. The galvanostatic charge/discharge evaluation within the voltage range of 2.5â€“4.3 V showed the specific capacity of the 850Â°C-10 h sample to be 127.87 mAhgâˆ’1.",lithium-manganese batteries,"microwave heating process, high-temperature reduction process","e.g., <120 °C, 120°C–220 °C, 220°C–380 °C, 380°C–600 °C, and >600 °C,  microwave penetration depth (Dp) was 4 cm at 900 °C",lithium and manganese,900
38,10.1016/j.renene.2021.09.055,High temperature microwave dielectric and thermochemical properties of waste LixMn2O4 battery cathode materials reduced by moso bamboo,"It is important to effectively and in an environmentally friendly manner, recover metallic elements such as lithium and manganese from waste lithium-manganese batteries. In this work, the changes in the dielectric and thermochemical properties of mixtures of waste LixMn2O4 battery cathode materials and moso bamboo during a microwave heating process were studied in detail using moso bamboo as the reducing agent. The dielectric properties of the mixed materials were measured by the cylindrical cavity perturbation method. The results of the high-temperature reduction process demonstrated that the reduction process could be divided into five temperature ranges (e.g., <120 Â°C, 120Â°Câ€“220 Â°C, 220Â°Câ€“380 Â°C, 380Â°Câ€“600 Â°C, and >600 Â°C), and the reduction reaction mainly occurred in the third and fourth stages, especially in the ranges of 300â€“330 Â°C and 410â€“430 Â°C. The results of the microwave absorption characteristics under different conditions demonstrated that high temperatures were favorable for microwave penetration, and the microwave penetration depth (Dp) was 4 cm at 900 Â°C. In addition, when the moso bamboo content exceeded 16%, the Îµr"" (effective loss factor) and tan Î´ (loss angle tangent) of the mixtures suddenly dropped to lower levels by approximately 0.064 and 0.087, respectively. It was also found that when the moso bamboo content was 12%, the mixture had better thermal reduction and microwave dielectric properties.",nickel metal hydride (NiMH) batteries,hydrometallurgical process followed by effective precipitation,"H3PO4 = 2 mol/L, T = 80 °C, and S/L = 1: 10 g/mL",light rare earth elements (LREEs) oxides,80
39,10.1016/j.jre.2023.02.020,"Hydrometallurgy two stage process for preparation of (Nd, La, Ce)2O3 from end-of-life NiMH batteries","The present work aims to investigate the recovery of light rare earth elements (LREEs) oxides from end-of-life NiMH batteries using a hydrometallurgical process followed by effective precipitation. The operational leaching parameters such as phosphoric acid concentration, temperature, and the solidâ€“liquid ratio were first optimized by Box-Behnken design. The results reveal that under optimum conditions ([H3PO4] = 2 mol/L, T = 80 Â°C, and S/L = 1: 10 g/mL) the leaching efficiencies of Ni, Co reach 98.1% and 99.3%. While La, Ce, and Nd elements remain in the leaching residue as (La, Ce, Nd)PO4 with yields of 98.2%, 98.6%, and 99.6% for La, Ce, and Nd, respectively. Afterward, the (La, Ce, Nd)PO4 is leached with HCl acid, then the rare earth oxalate was precipitated using oxalic acid at a pH of 1.8 and then the product was calcined at 800 Â°C for 2 h in order to synthesize the (Nd, La, Ce)2O3. The analysis using scanning electron microscopy (SEM) coupled with energy dispersive X-ray spectroscopy (EDX) confirms the homogeneity of (Nd, La, Ce)2O3 particles that have two morphologies, i.e., flower and sticks with a particle size between 3 and 6 Î¼m. The unit cell parameters of (Nd, La, Ce)2O3 were calculated after Rietveld refinement of the XRD patterns, in the space group of Fm-3m are a = b = c = 0.57921 nm and the volume equal to 0.194322 nm3.",Ni–Cd battery waste,solvent extraction process,"50gL−1 CdSO4 at pH=0.5, loaded D2EHPA with 75gL−1 of H2SO4","cadmium, from cobalt and nickel",
40,10.1016/j.molliq.2012.06.017,Solvent mediated interactions for the selective recovery of Cadmium from Niâ€“Cd battery waste,"This work deals with the development of a solvent extraction process for the selective separation of cadmium, from cobalt and nickel, using DEHPA as an extractant. After mechanical separation, dissolution of the electrode material in H2SO4 and iron removal the leach liquor obtained was subjected to solvent extraction for the extraction and separation of all the three metal ions. The conditions were optimized for the selective recovery of Cd using 20% D2EHPA with 60% saponification. Saturated loading capacity for 20% (60% saponified D2EHPA) was found to be 10.89gLâˆ’1 Cd, 1.404gLâˆ’1 Ni, and 0.032gLâˆ’1 Co at O/A ratio of 1:1. McCabeâ€“Thiele plot at varying O/A ratio indicated the requirement of 4 stages for 100% extraction of Cd at O/A ratio of 1:1.5. The dependence of extraction on pH indicated that the extraction of Cd(II) proceeds according to a cation-exchange reaction at lower acidity and to a solvating reaction at higher acidities. The co-extracted Ni and Co were effectively scrubbed with 50gLâˆ’1 CdSO4 at pH 0.5. 99.6% Cd was stripped from the loaded D2EHPA with 75gLâˆ’1 of H2SO4. Based on the slope analysis of the plots of log DCd versus log [(HR)2] and pH vs log DCd, Cd was found to be extracted as CdR2.(HR)2. The process seems to be promising for the production of pure metal streams which can further be used to produce valuable commercial products vis-a-vis the environmental protection.",Lithium-ion batteries (LIBs),leaching,"(NH4)2SO4 concentration = 1.5 mol/L, Na2SO3 concentration = 0.5 mol/L, NH3 concentration = 4 mol/L, solid-liquid ratio = 10:1, leaching time = 180 min, and temperature = 90 °C","Li, Co, and Ni",90
41,10.1016/j.hydromet.2021.105809,Ammonia leaching of valuable metals from spent lithium ion batteries in NH3-(NH4)2SO4-Na2SO3 system,"The development of green energy technology has necessitated research on methods to recover and reuse spent Li-ion batteries. To increase the recovery efficiency of precious metals from spent Li batteries, the effects of different leaching parameters, such as the temperature, leaching time, leach liquor concentrations, and solid-liquid ratio, on the leaching efficiency of the NH3 + (NH4)2SO4 + Na2SO3 system were systematically investigated in this study. The most suitable leaching conditions were determined as follows: (NH4)2SO4 concentration = 1.5 mol/L, Na2SO3 concentration = 0.5 mol/L, NH3 concentration = 4 mol/L, solid-liquid ratio = 10:1, leaching time = 180 min, and temperature = 90 Â°C. Under the most suitable conditions, the leaching efficiencies of Li, Co, and Ni were 96.2%, 89.9%, and 90.1%, respectively, and up to 90.8% Mn remained as a leach residue with good crystallinity. The leach residue was characterised using X-ray diffraction, scanning electron microscopy, electron probe microanalysis, and other detection techniques. The kinetic modelling showed that the leaching process of Li, Co, and Ni was controlled by the surface chemical reaction with apparent activation energies of 62.0, 81.5 and 76.3 kJ/mol, for Li, Co and Ni, respectively. Moreover, Mn precipitated as (NH4)2Mn(SO3)2Â·H2O in the residue where higher leaching temperatures produced residues of better crystallinity. The optimum temperature to obtain a well-crystallised residue was 90 Â°C.",Lithium-ion batteries (LIBs),controlled pyrolysis,"temperature of 450 °C, holding time of 60 min, and heating rate of 10 °C/min",Al foil,450
42,10.1016/j.jenvman.2021.113500,Efficient separation of aluminum foil from mixed-type spent lithium-ion power batteries,"The disposal of spent lithium-ion power batteries (LIBs) has become an important research topic owing to the booming market for electric vehicles. However, the recovery efficiency of the alkaline solution and organic solvent methods currently used to separate Al foil from cathode materials still has room for improvement. The insufficient separation of Al foil and complexity of the battery types present obstacles to the extraction of valuable metals using simple processes. In this study, an efficient approach is developed to separate the Al foil in mixed-type spent LIBs (M-LIBs), namely, LiNixCoyMnzO2 (NCM), LiFePO4 (LFP), and LiMn2O4 (LMO) LIBs, by controlled pyrolysis. Hundred percent of the Al foil was recovered at the temperature of 450 Â°C, holding time of 60 min, and heating rate of 10 Â°C/min. The purity of Al in the recovered foil was 99.41 %, 99.83 % and 99.92 %, and the recovery efficiency of the active cathode materials was 96.01 %, 99.80 % and 99.15 % for NCM, LFP and LMO, respectively, without the loss of active cathode materials. The obtained active cathode materials exhibited a favorable crystalline structure, and the average particle diameter was reduced from 300.497 to 24.316 Î¼m with a smaller and looser morphology. The process could be well fitted with the Friedman differential equation, and the correlation coefficients were higher than 0.99. The efficient separation could be attributed to the complete rupture of long chain â€“(CH2CF2)â€“n bonds in the poly (vinylidene difluoride) (PVDF) binder, which resulted in the formation of HF, trifluorobenzene, alkanes, and gaseous single molecule CH2 CF2. Therefore, this work potentially provides an alternative approach for the efficient separation of Al foil in M-LIBs, thereby simplifying the process and achieving lower cost, reduced loss of valuable metals, and higher recovery efficiency.",Lithium-ion batteries (LIBs),ammonium sulfate roasting method,"roasting temperature of 450 °C, roasting time of 24 min","Li, Ni, and Mn",450
43,10.1016/j.cej.2023.143441,"Green recovery of Li, Ni, and Mn from spent xLi2MnO3Â·(1-x)LiMO2 cathode materials: Experimental study and mechanism analysis","Recycling of spent lithium-ion batteries (LIBs) cathode materials has become a hot research area owing to limited resources, environmental problems, and strong global demand for LIBs raw materials. However, among multiple types of spent LIBs cathode materials, the recycling of spent xLi2MnO3Â·(1-x)LiMO2 cathode materials has not been studied and remains challenging. Herein, a green and efficient process has been developed for the simultaneous recovery of Li, Ni, and Mn from spent xLi2MnO3Â·(1-x)LiMO2 cathode materials by an ammonium sulfate roasting method. At optimal conditions of the roasting temperature of 450 Â°C, the (NH4)2SO4-to-spent xLi2MnO3Â·(1-x)LiMO2 mass ratio of 3:1, and the roasting time of 24 min, the spent xLi2MnO3Â·(1-x)LiMO2 phase was completely destroyed and converted into water-soluble metal-ammine-sulfates and metal-sulfates, resulting in that 99.41% Li, 98.67% Ni, and 98.61% Mn were rapidly extracted. Furthermore, possible conversion mechanisms and the kinetics for the roasting process were both investigated in detail, combined thermodynamics, DSC-TG, macroâ€“micro scale analyses and DFT calculations. Finally, Mn as high-purity MnSO4 products with a purity of 99.98%, and Li and Ni as Li2SO4-NiSO4 mixture products, were efficiently recovered via (NH4)2SO3 precipitation, oxidation leaching, extraction and stripping, and evaporative crystallization. Compared with other current recovery process, this work shows better economic and environmental benefits, while maintaining the considerable Li, Ni, and Mn extraction yields, which is expected for the recycling of spent xLi2MnO3Â·(1-x)LiMO2 cathode materials in the future.",Lithium iron phosphate (LiFePO4) batteries,reduction leaching of LES,"1.4 times the stoichiometric amount of H2SO4, 1.5 times the amount of Fe powder, an L/S ratio of 5 mL/g, and a reaction duration of 150 min at 60 °C",FePO4,60
44,10.1016/j.jclepro.2023.140091,Efficient recovery and regeneration of FePO4 from lithium extraction slag: Towards sustainable LiFePO4 battery recycling,"The recovery and regeneration of FePO4 from lithium extraction slag (LES) are crucial steps in the closed-loop recycling of waste LiFePO4 batteries. This necessity arises despite the low commercial value of LES, as conventional recovery methods are cost-prohibitive, leading to insufficient attention to LES recovery. The recent surge in retired batteries has resulted in a significant accumulation of LES, posing serious environmental concerns, however, the high content of Fe and P resources in LES presents a potential value. The study begins with a theoretical analysis, concluding that the reduction leaching of LES is a feasible approach. By integrating this with the Fe powder synthesis route for FePO4, it is found that efficient leaching of LES can be achieved using a low concentration of H2SO4, thereby significantly reducing the recovery cost. This method not only efficiently utilize LES but also alleviates environmental pressure. The thermodynamic analysis sheds light on the mechanism of LES leaching and FePO4 synthesis, confirming the feasibility of each reaction. Optimal leaching conditions (1.4 times the stoichiometric amount of H2SO4, 1.5 times the amount of Fe powder, an L/S ratio of 5 mL/g, and a reaction duration of 150 min at 60 Â°C), under which the leaching rates of Fe and P reached 94.66% and 98.23%, respectively. Additionally, the study introduces a method to remove the main impurity Al in LES, achieving a removal rate of over 99%, reducing its concentration to below 100 ppm. Other impurities, such as Ti, Mn, and Zn, also meet the Chinese Chemical Industry Standard (HG/T 4701-2021). Comparative analyses were conducted between regenerated R-FePO4, commercial Câ€“FePO4, and untreated LES (r-FePO4). LiFePO4 materials derived from these sources were synthesized, followed by an evaluation of their electrochemical performance. The regenerated R-FePO4 matched the quality of commercial FePO4 and significantly outperformed r-FePO4. Additionally, the process proposed in this study yields significant economic benefits, estimating a profit of 719.6 $/t of recycled LES. This research proposes a cost-effective and efficient method for regenerating high-quality battery-grade FePO4 from LES, offering a significant contribution to the closed-loop recycling of waste LiFePO4 batteries.",zinc–carbon and alkaline spent batteries,"chemical analysis, TGA/DTA and X-ray powder diffraction","400°C and 10min, 1000°C and 30min residence time, 1200°C and 30min residence time",manganese and zinc,1200
45,10.1016/j.wasman.2012.05.008,Thermal treatment for recovery of manganese and zinc from zincâ€“carbon and alkaline spent batteries,"The aim of this paper is the recovery of manganese and zinc from a mixture of zincâ€“carbon and alkaline spent batteries, containing 40.9% of Mn and 30.1% of Zn, after preliminary physical treatment followed by removal of mercury. Separation of the metals has been carried out on the basis of their different boiling points, being 357Â°C and 906Â°C the boiling point of mercury and zinc and 1564Â°C the melting point of Mn2O3. Characterization by chemical analysis, TGA/DTA and X-ray powder diffraction of the mixture has been carried out after comminution sieving and shaking table treatment to remove the anodic collectors and most of chlorides contained in the mixture. The mixture has been roasted at various temperatures and resident times in a flow of air to set the best conditions to remove mercury that were 400Â°C and 10min. After that, the flow of air has been turned into a nitrogen one (inert atmosphere) and the temperatures raised, thus permitting the zinc oxide to be reduced to metallic zinc by the carbon present in the original mixture and recovered after volatilization as a high grade concentrate, while manganese was left in the residue. The recovery and the grade of the two metals, at 1000Â°C and 30min residence time, were 84% and 100% for zinc and 85% and 63% for manganese, respectively. The recovery of zinc increased to 99% with a grade of 97% at 1200Â°C and 30min residence time, while the recovery and grade of manganese were 86% and 87%, respectively, at that temperature. Moreover, the chlorinated compounds that could form by the combustion of the plastics contained in the spent batteries, are destroyed at the temperature required by the process.",nickel metal hydride (NiMH) batteries,solvent extraction,"O/A=1/1, room temperature, 30min of contact, pH≤2.5, O/A=1/0.5, room temperature, 15min of contact","manganese and zinc, Ni",30
46,10.1016/j.hydromet.2012.08.003,"Separation of manganese, zinc and nickel from leaching solution of nickel-metal hydride spent batteries by solvent extraction","The paper is focused on the use of solvent extraction for purification of leach liquor solutions obtained by leaching of NiMH spent batteries: dissolved nickel is separated from manganese and zinc by liquidâ€“liquid extraction using D2EHPA. Two extractants were investigated: D2EHPA and Cyanex 272 in n-dodecane, and the preliminary tests suggested that D2EHPA is more efficient to separate Mn and Zn from the leaching solutions. Under the optimized conditions it is observed that in extraction circuit a recovery >99% of zinc and >95% of manganese is archived. The experimental results suggested that two cross-flow liquidâ€“liquid extraction steps are adequate to extract 100% of Zn and about 95% of Mn while the residual Ni was about 80% of its initial content. The extracted elements are stripped using a 4M sulfuric acid solution and the stripping yields were very high, >99% for Ni and Zn and about 98% for Mn. Finally, a possible process flowsheet to separate Mn and Zn from leach liquor of NiMH spent batteries by solvent extraction is proposed. The process includes two stages of extraction with 20% v/v of D2EHPA in n-dodecane (O/A=1/1, room temperature, 30min of contact, pHâ‰¤2.5) and one stage of stripping with 4M of H2SO4 (O/A=1/0.5, room temperature, 15min of contact). The raffinate rich in Ni has the following composition: 32g/L of Ni, 0.87g/L of Mn, and the aqueous liquid from the stripping step had the following concentrations: 9.86g/L of Zn, 18g/L of Mn and 7.33g/L of Ni. The first solution could be treated to recover Ni, for example by precipitation, whereas the second liquid could be recycled in electrolytic section to recover metallic zinc and manganese oxide.","LiCoO2 cathodes, lithium-ion batteries (LIBs)","closed-loop oxalate-based process, combined shrinking core model (cSCM) ","0.46 M and 100 °C, 55–75 °C",Li and Co,100
47,10.1016/j.hydromet.2021.105694,Lithium and cobalt recovery for lithium-ion battery recycle using an improved oxalate process with hydrogen peroxide,"Lithium cobalt oxide (LiCoO2) is the first and most commercially successful form of layered transition metal oxide cathode used in lithium-ion batteries (LIBs). Recycling LiCoO2 cathodes is critical for stabilizing the Li and Co economy. In this work, a kinetic investigation of a closed-loop oxalate-based process for recovery and separation of Li and Co from LiCoO2 has been developed. Metal extraction from LiCoO2 is a non-catalytic solid-liquid reaction with both solid and aqueous products. To understand the kinetics and identify the rate-limiting mechanism, a combined shrinking core model (cSCM) was used for LiCoO2 digestions. LiCoO2 in the presence of aqueous oxalic acid (H2C2O4) at the optimum concentration of 0.46 M and 100 Â°C results in efficient extraction and separation of Li and Co. Diffusion of H2C2O4 into LiCoO2 occurs through a product layer of cobalt oxalate dihydrate (CoC2O4Â·2H2O) that forms on the surface and this process was identified as rate-limiting. The CoC2O4Â·2H2O was precipitated in a micro-rod morphology when 0.46 M hydrogen peroxide (H2O2) was added along with 0.23 M H2C2O4, and the reaction was carried out at a temperature of 55â€“75 Â°C. In this case, the chemical reaction at the LiCoO2 surface was identified as the rate-limiting step. Addition of H2O2 resulted in a 33% reduction in the overall activation energy, a 50% reduction in energy consumption, and a 13% reduction in the cost of reagents. This work signifies the importance of a cost-effective, environmentally-friendly, and energy-efficient process for recovering critical metals such as Li and Co from spent LIB cathodes.",Lithium-ion batteries (LIBs),"Leaching, carbothermal reduction process ",discharge capacity can reach 159.3mAhg−1 at 0.1C rate and 86.3mAhg−1 even at 20C rate,LiFePO4,
48,10.1016/j.electacta.2015.12.114,A novel process to recycle spent LiFePO4 for synthesizing LiFePO4/C hierarchical microflowers,"A novel process has been demonstrated to recycle LiFePO4 from spent lithium-ion batteries. The spent LiFePO4 cathode materials were leached by phosphoric acid (H3PO4) solution and followed by subsequent heat treatment to obtain FePO4Â·2H2O hierarchical microflowers. Furthermore, new LiFePO4/C sample was prepared via a carbothermal reduction process of calcining the obtained FePO4Â·2H2O precursor with Li2CO3 and glucose in N2 atmosphere. The re-synthesized LiFePO4/C sample inherits the hierarchical microflower structure of the FePO4Â·2H2O precursor, with a diameter of 1â€“2Î¼m. Electrochemical test indicates that the re-synthesized LiFePO4/C shows excellent electrochemical performance as cathode material for lithium ion batteries. The discharge capacity can reach 159.3mAhgâˆ’1 at 0.1C rate and 86.3mAhgâˆ’1 even at 20C rate, respectively. After 500 cycles at 5C, they still can deliver a discharge capacity of 105mAhgâˆ’1 with a high capacity retention rate of 95.4%. Moreover, the lithium element was also recovered in the form of LiH2PO4 from the filtrate after collecting the FePO4Â·2H2O precipitate. This work provides a promising route for large scale recovery and reuse of spent LiFePO4 cathode materials of lithium-ion batteries.",Lithium-ion batteries (LIBs),Leaching,"2 M H2SO4 and 10% H2O2 at room temperature, in 2 h maintaining pulp density 75 g/L","Mn, Fe, Cu, Li",30
